consumo_electrodomesticos,consumo_iluminacion,temperatura_sala,temperatura_exterior,humedad_exterior,temperatura_meteorologica,hora,dia_semana,mes,es_fin_de_semana,rango_termico
110,30,20.4266666666667,5.763333333333329,87.0,6.0,21,0,1,0,Medio
110,20,20.5,5.65666666666667,87.1666666666667,5.93333333333333,21,0,1,0,Medio
100,30,20.533333333333296,5.53,87.3333333333333,5.86666666666667,21,0,1,0,Alto
100,20,20.6666666666667,5.43333333333333,87.5,5.8,21,0,1,0,Alto
100,20,20.7,5.5,87.6666666666667,5.73333333333333,21,0,1,0,Alto
100,20,20.7,5.59,87.8333333333333,5.66666666666667,21,0,1,0,Alto
110,20,20.79,5.59,88.0,5.6,22,0,1,0,Alto
400,20,20.79,5.65666666666667,87.8333333333333,5.65,22,0,1,0,Alto
400,20,20.89,5.8333333333333295,87.6666666666667,5.7,22,0,1,0,Alto
390,30,20.963333333333296,5.9,87.5,5.75,22,0,1,0,Alto
240,20,21.0,6.0,87.3333333333333,5.8,22,0,1,0,Medio
60,20,21.0,6.0,87.1666666666667,5.85,22,0,1,0,Medio
60,20,21.0,5.96666666666667,87.0,5.9,23,0,1,0,Alto
60,20,21.0,5.9,87.8333333333333,5.8,23,0,1,0,Alto
50,10,21.0,5.763333333333329,88.6666666666667,5.7,23,0,1,0,Alto
70,20,20.9266666666667,5.6233333333333295,89.5,5.6,23,0,1,0,Alto
60,20,20.89,5.59,90.3333333333333,5.5,23,0,1,0,Alto
40,20,20.79,5.59,91.1666666666667,5.4,23,0,1,0,Alto
40,10,20.79,5.59,92.0,5.3,0,1,1,0,Alto
30,20,20.7,5.53,92.0,5.26666666666667,0,1,1,0,Alto
40,20,20.6333333333333,5.53,92.0,5.23333333333333,0,1,1,0,Alto
50,20,20.6,5.53,92.0,5.2,0,1,1,0,Alto
310,10,20.6,5.4,92.0,5.16666666666667,0,1,1,0,Alto
380,20,20.5,5.2,92.0,5.133333333333329,0,1,1,0,Alto
380,20,20.5,4.86666666666667,92.0,5.1,1,1,1,0,Alto
370,20,20.39,4.93333333333333,92.0,5.11666666666667,1,1,1,0,Alto
120,10,20.39,5.0,92.0,5.133333333333329,1,1,1,0,Alto
50,0,20.29,4.86666666666667,92.0,5.15,1,1,1,0,Alto
40,0,20.23,4.72666666666667,92.0,5.16666666666667,1,1,1,0,Alto
50,0,20.2,4.46666666666667,92.0,5.18333333333333,1,1,1,0,Alto
40,0,20.2,4.3333333333333295,92.0,5.2,2,1,1,0,Alto
50,0,20.1,4.15666666666667,92.0,5.133333333333329,2,1,1,0,Alto
50,0,20.1,4.15666666666667,92.0,5.06666666666667,2,1,1,0,Alto
50,0,20.0,4.3333333333333295,92.0,5.0,2,1,1,0,Alto
40,0,20.0,4.3333333333333295,92.0,4.93333333333333,2,1,1,0,Alto
40,0,20.0,4.19,92.0,4.86666666666667,2,1,1,0,Alto
30,0,19.89,4.06333333333333,92.0,4.8,3,1,1,0,Alto
20,0,19.823333333333295,3.8633333333333297,92.1666666666667,4.81666666666667,3,1,1,0,Alto
20,0,19.79,3.79,92.3333333333333,4.8333333333333295,3,1,1,0,Alto
40,0,19.79,3.895,92.5,4.85,3,1,1,0,Alto
50,0,19.76,4.19,92.6666666666667,4.86666666666667,3,1,1,0,Alto
50,0,19.7,4.263333333333329,92.8333333333333,4.883333333333329,3,1,1,0,Alto
40,0,19.7,4.463333333333329,93.0,4.9,4,1,1,0,Alto
50,0,19.6333333333333,4.59,92.6666666666667,4.91666666666667,4,1,1,0,Alto
40,0,19.6,4.72666666666667,92.3333333333333,4.93333333333333,4,1,1,0,Medio
40,0,19.6,4.8,92.0,4.95,4,1,1,0,Medio
40,0,19.566666666666695,4.8,91.6666666666667,4.96666666666667,4,1,1,0,Medio
60,0,19.5,4.8,91.3333333333333,4.98333333333333,4,1,1,0,Medio
50,0,19.5,4.8,91.0,5.0,5,1,1,0,Medio
50,0,19.4266666666667,4.8,91.6666666666667,4.98333333333333,5,1,1,0,Medio
40,0,19.39,4.763333333333329,92.3333333333333,4.96666666666667,5,1,1,0,Medio
40,0,19.39,4.763333333333329,93.0,4.95,5,1,1,0,Medio
40,0,19.39,4.8333333333333295,93.6666666666667,4.93333333333333,5,1,1,0,Medio
40,0,19.39,4.8333333333333295,94.3333333333333,4.91666666666667,5,1,1,0,Medio
50,0,19.29,4.9,95.0,4.9,6,1,1,0,Medio
70,10,19.29,4.9975,94.6666666666667,4.93333333333333,6,1,1,0,Medio
40,0,19.29,5.09,94.3333333333333,4.96666666666667,6,1,1,0,Medio
30,0,19.29,5.0,94.0,5.0,6,1,1,0,Medio
20,10,19.218,5.0,93.6666666666667,5.03333333333333,6,1,1,0,Medio
30,0,19.2,4.96666666666667,93.3333333333333,5.06666666666667,6,1,1,0,Medio
40,10,19.2,4.9,93.0,5.1,7,1,1,0,Medio
50,10,19.2,4.93333333333333,92.6666666666667,5.1,7,1,1,0,Medio
60,20,19.2,4.93333333333333,92.3333333333333,5.1,7,1,1,0,Medio
60,20,19.175,5.0,92.0,5.1,7,1,1,0,Medio
70,20,19.1,5.0,91.6666666666667,5.1,7,1,1,0,Medio
60,30,19.1,5.0,91.3333333333333,5.1,7,1,1,0,Medio
140,20,19.1,5.06,91.0,5.1,8,1,1,0,Medio
110,30,19.066666666666695,5.09,91.0,5.05,8,1,1,0,Medio
90,10,19.0222222222222,5.09,91.0,5.0,8,1,1,0,Medio
60,0,19.1,5.0,91.0,4.95,8,1,1,0,Medio
60,0,19.033333333333296,4.7933333333333294,91.0,4.9,8,1,1,0,Medio
60,0,19.0,4.46666666666667,91.0,4.85,8,1,1,0,Medio
50,0,19.0,4.2975,91.0,4.8,9,1,1,0,Medio
60,0,19.0,4.06333333333333,91.0,4.883333333333329,9,1,1,0,Medio
50,0,19.0,4.03,91.0,4.96666666666667,9,1,1,0,Medio
30,0,19.0,4.09,91.0,5.05,9,1,1,0,Medio
40,0,18.963333333333296,4.1233333333333295,91.0,5.133333333333329,9,1,1,0,Medio
30,0,18.963333333333296,4.263333333333329,91.0,5.21666666666667,9,1,1,0,Medio
260,0,18.89,4.463333333333329,91.0,5.3,10,1,1,0,Medio
500,0,18.89,4.73,90.1666666666667,5.48333333333333,10,1,1,0,Medio
450,0,18.9266666666667,5.03,89.3333333333333,5.66666666666667,10,1,1,0,Medio
50,10,19.0,5.15666666666667,88.5,5.85,10,1,1,0,Medio
60,0,19.033333333333296,5.3333333333333295,87.6666666666667,6.03333333333333,10,1,1,0,Medio
60,0,19.033333333333296,5.4,86.8333333333333,6.21666666666667,10,1,1,0,Medio
50,0,19.033333333333296,5.53,86.0,6.4,11,1,1,0,Medio
50,0,19.1,5.79666666666667,85.1666666666667,6.5,11,1,1,0,Medio
50,0,19.1,5.8333333333333295,84.3333333333333,6.6,11,1,1,0,Medio
60,0,19.1,5.96666666666667,83.5,6.7,11,1,1,0,Medio
60,0,19.1,6.245,82.6666666666667,6.8,11,1,1,0,Medio
60,0,19.15,6.43333333333333,81.8333333333333,6.9,11,1,1,0,Medio
60,0,19.2,6.5,81.0,7.0,12,1,1,0,Medio
190,0,19.2,6.59,80.6666666666667,7.0833333333333295,12,1,1,0,Medio
220,0,19.2,6.65666666666667,80.3333333333333,7.16666666666667,12,1,1,0,Medio
170,0,19.2,6.93333333333333,80.0,7.25,12,1,1,0,Medio
390,0,19.2,7.12666666666667,79.6666666666667,7.3333333333333295,12,1,1,0,Medio
90,0,19.2,7.43333333333333,79.3333333333333,7.416666666666669,12,1,1,0,Medio
60,0,19.2,7.5,79.0,7.5,13,1,1,0,Medio
290,0,19.1,7.4,79.3333333333333,7.416666666666669,13,1,1,0,Medio
130,0,19.1,7.46666666666667,79.6666666666667,7.3333333333333295,13,1,1,0,Medio
140,0,19.1,7.656666666666669,80.0,7.25,13,1,1,0,Medio
240,0,19.1,7.53,80.3333333333333,7.16666666666667,13,1,1,0,Medio
50,0,19.1,7.6233333333333295,80.6666666666667,7.0833333333333295,13,1,1,0,Medio
60,0,19.1,7.69,81.0,7.0,14,1,1,0,Medio
60,0,19.1,7.559999999999999,80.1666666666667,6.98333333333333,14,1,1,0,Medio
60,0,19.1,7.43333333333333,79.3333333333333,6.96666666666667,14,1,1,0,Medio
370,0,19.1,7.295,78.5,6.95,14,1,1,0,Medio
200,0,19.033333333333296,6.9,77.6666666666667,6.93333333333333,14,1,1,0,Medio
70,0,19.0,6.96666666666667,76.8333333333333,6.91666666666667,14,1,1,0,Medio
50,0,19.0,6.96666666666667,76.0,6.9,15,1,1,0,Medio
40,0,19.0,6.8333333333333295,77.0,6.8,15,1,1,0,Medio
40,0,18.9266666666667,6.36666666666667,78.0,6.7,15,1,1,0,Medio
30,0,19.033333333333296,6.43333333333333,79.0,6.6,15,1,1,0,Medio
30,0,19.1,6.93333333333333,80.0,6.5,15,1,1,0,Medio
30,0,19.1333333333333,7.0,81.0,6.4,15,1,1,0,Medio
30,0,19.2,6.93333333333333,82.0,6.3,16,1,1,0,Medio
40,0,19.1363636363636,6.72666666666667,80.8333333333333,6.3333333333333295,16,1,1,0,Medio
50,0,19.13,6.52666666666667,79.6666666666667,6.36666666666667,16,1,1,0,Medio
40,0,19.1,6.3333333333333295,78.5,6.4,16,1,1,0,Medio
40,0,19.0375,6.1233333333333295,77.3333333333333,6.43333333333333,16,1,1,0,Medio
40,0,19.007692307692295,6.19,76.1666666666667,6.46666666666667,16,1,1,0,Medio
60,0,19.0,6.15666666666667,75.0,6.5,17,1,1,0,Medio
60,10,19.0,6.09,76.6666666666667,6.31666666666667,17,1,1,0,Medio
210,20,18.99,6.09,78.3333333333333,6.133333333333329,17,1,1,0,Medio
380,20,18.9022222222222,6.06,80.0,5.95,17,1,1,0,Medio
370,40,18.89,5.93333333333333,81.6666666666667,5.76666666666667,17,1,1,0,Medio
230,30,18.89,5.52666666666667,83.3333333333333,5.5833333333333295,17,1,1,0,Medio
80,40,18.8566666666667,5.26,85.0,5.4,18,1,1,0,Medio
90,30,18.8566666666667,5.06,86.0,5.3,18,1,1,0,Medio
70,20,18.9266666666667,4.93333333333333,87.0,5.2,18,1,1,0,Medio
40,10,19.0,4.93333333333333,88.0,5.1,18,1,1,0,Medio
40,0,19.2,5.0,89.0,5.0,18,1,1,0,Medio
30,0,19.245,4.9,90.0,4.9,18,1,1,0,Medio
50,0,19.29,4.9,91.0,4.8,19,1,1,0,Medio
50,0,19.37,4.86666666666667,91.3333333333333,4.75,19,1,1,0,Medio
60,0,19.39,4.86666666666667,91.6666666666667,4.7,19,1,1,0,Medio
50,0,19.39,4.93333333333333,92.0,4.65,19,1,1,0,Medio
60,0,19.39,4.93333333333333,92.3333333333333,4.6,19,1,1,0,Medio
60,0,19.39,4.62666666666667,92.6666666666667,4.55,19,1,1,0,Medio
60,0,19.39,4.4,93.0,4.5,20,1,1,0,Medio
50,0,19.3566666666667,4.36666666666667,92.6666666666667,4.53333333333333,20,1,1,0,Medio
50,0,19.29,4.53,92.3333333333333,4.56666666666667,20,1,1,0,Medio
50,0,19.29,4.59,92.0,4.6,20,1,1,0,Medio
50,0,19.26,4.56,91.6666666666667,4.633333333333329,20,1,1,0,Medio
50,0,19.2,4.36666666666667,91.3333333333333,4.66666666666667,20,1,1,0,Medio
60,0,19.2,4.263333333333329,91.0,4.7,21,1,1,0,Medio
60,0,19.2,4.263333333333329,90.5,4.8,21,1,1,0,Medio
40,0,19.1,4.4,90.0,4.9,21,1,1,0,Medio
30,0,19.1,4.46666666666667,89.5,5.0,21,1,1,0,Medio
30,20,19.0444444444444,4.6233333333333295,89.0,5.1,21,1,1,0,Medio
30,10,19.0,4.69,88.5,5.2,21,1,1,0,Medio
40,0,19.0,4.8333333333333295,88.0,5.3,22,1,1,0,Medio
50,10,19.0,4.96666666666667,87.3333333333333,5.3333333333333295,22,1,1,0,Medio
50,0,19.0,5.09,86.6666666666667,5.36666666666667,22,1,1,0,Medio
50,0,18.910625,5.09,86.0,5.4,22,1,1,0,Medio
40,0,18.89,5.19,85.3333333333333,5.43333333333333,22,1,1,0,Medio
50,0,18.89,5.2725,84.6666666666667,5.46666666666667,22,1,1,0,Medio
40,0,18.89,5.36666666666667,84.0,5.5,23,1,1,0,Medio
40,0,18.8081818181818,5.5,83.3333333333333,5.5833333333333295,23,1,1,0,Medio
40,0,18.79,5.56,82.6666666666667,5.66666666666667,23,1,1,0,Medio
40,0,18.79,5.69,82.0,5.75,23,1,1,0,Medio
50,0,18.79,5.69,81.3333333333333,5.8333333333333295,23,1,1,0,Medio
50,0,18.775,5.8,80.6666666666667,5.91666666666667,23,1,1,0,Medio
50,0,18.7,5.86666666666667,80.0,6.0,0,2,1,0,Medio
30,0,18.7,6.0,81.3333333333333,5.883333333333329,0,2,1,0,Medio
20,0,18.7,6.0,82.6666666666667,5.76666666666667,0,2,1,0,Medio
30,0,18.690909090909095,5.73,84.0,5.65,0,2,1,0,Medio
20,0,18.6777777777778,5.53,85.3333333333333,5.53333333333333,0,2,1,0,Medio
40,0,18.6428571428571,5.5,86.6666666666667,5.41666666666667,0,2,1,0,Medio
50,0,18.6,5.56,88.0,5.3,1,2,1,0,Medio
60,0,18.6,5.5,88.5,5.3,1,2,1,0,Medio
50,0,18.6,5.43333333333333,89.0,5.3,1,2,1,0,Medio
40,0,18.588888888888896,5.4,89.5,5.3,1,2,1,0,Medio
40,0,18.5,5.4,90.0,5.3,1,2,1,0,Medio
50,0,18.5,5.4,90.5,5.3,1,2,1,0,Medio
40,0,18.5,5.4,91.0,5.3,2,2,1,0,Medio
40,0,18.5,5.46666666666667,90.6666666666667,5.3333333333333295,2,2,1,0,Medio
50,0,18.5,5.5,90.3333333333333,5.36666666666667,2,2,1,0,Medio
50,0,18.5,5.56,90.0,5.4,2,2,1,0,Medio
50,0,18.5,5.59,89.6666666666667,5.43333333333333,2,2,1,0,Medio
40,0,18.4830769230769,5.65666666666667,89.3333333333333,5.46666666666667,2,2,1,0,Medio
30,0,18.4938888888889,5.69,89.0,5.5,3,2,1,0,Medio
20,0,18.4205555555556,5.69,89.0,5.48333333333333,3,2,1,0,Medio
20,0,18.3961111111111,5.69,89.0,5.46666666666667,3,2,1,0,Medio
20,0,18.39,5.69,89.0,5.45,3,2,1,0,Medio
50,0,18.39,5.72666666666667,89.0,5.43333333333333,3,2,1,0,Medio
50,0,18.3718181818182,5.8,89.0,5.41666666666667,3,2,1,0,Medio
50,0,18.307647058823495,5.8333333333333295,89.0,5.4,4,2,1,0,Medio
40,0,18.3429411764706,5.8333333333333295,89.1666666666667,5.36666666666667,4,2,1,0,Medio
40,0,18.34,5.8,89.3333333333333,5.3333333333333295,4,2,1,0,Medio
50,0,18.29,5.763333333333329,89.5,5.3,4,2,1,0,Medio
40,0,18.29,5.6233333333333295,89.6666666666667,5.26666666666667,4,2,1,0,Medio
50,0,18.29,5.6233333333333295,89.8333333333333,5.23333333333333,4,2,1,0,Medio
50,0,18.273125,5.69,90.0,5.2,5,2,1,0,Medio
50,0,18.29,5.56,90.0,5.16666666666667,5,2,1,0,Medio
40,0,18.245,5.43333333333333,90.0,5.133333333333329,5,2,1,0,Medio
40,0,18.2,5.22666666666667,90.0,5.1,5,2,1,0,Medio
50,0,18.2,5.36666666666667,90.0,5.06666666666667,5,2,1,0,Medio
20,0,18.2,5.5,90.0,5.03333333333333,5,2,1,0,Medio
20,0,18.2,5.56,90.0,5.0,6,2,1,0,Medio
50,0,18.2,5.59,89.8333333333333,5.01666666666667,6,2,1,0,Medio
30,10,18.2,5.59,89.6666666666667,5.03333333333333,6,2,1,0,Medio
50,10,18.2,5.59,89.5,5.05,6,2,1,0,Medio
50,10,18.1727272727273,5.53,89.3333333333333,5.06666666666667,6,2,1,0,Medio
200,0,18.1818181818182,5.53,89.1666666666667,5.0833333333333295,6,2,1,0,Medio
110,10,18.15,5.59,89.0,5.1,7,2,1,0,Medio
80,10,18.1,5.59,89.1666666666667,5.0833333333333295,7,2,1,0,Medio
50,0,18.1,5.59,89.3333333333333,5.06666666666667,7,2,1,0,Medio
50,0,18.05,5.59,89.5,5.05,7,2,1,0,Medio
50,0,18.1,5.59,89.6666666666667,5.03333333333333,7,2,1,0,Medio
40,0,18.1,5.59,89.8333333333333,5.01666666666667,7,2,1,0,Medio
40,0,18.0,5.59,90.0,5.0,8,2,1,0,Medio
30,0,18.0,5.59,89.6666666666667,5.0,8,2,1,0,Medio
180,20,18.0,5.56,89.3333333333333,5.0,8,2,1,0,Medio
350,30,18.0,5.5,89.0,5.0,8,2,1,0,Medio
350,20,18.0,5.46666666666667,88.6666666666667,5.0,8,2,1,0,Medio
300,30,18.0,5.4,88.3333333333333,5.0,8,2,1,0,Medio
400,20,18.066666666666695,5.5,88.0,5.0,9,2,1,0,Medio
390,30,18.1333333333333,5.5,88.0,5.0,9,2,1,0,Medio
290,30,18.26,5.59,88.0,5.0,9,2,1,0,Medio
60,30,18.323333333333295,5.59,88.0,5.0,9,2,1,0,Medio
70,20,18.463333333333296,5.59,88.0,5.0,9,2,1,0,Medio
110,30,18.533333333333296,5.59,88.0,5.0,9,2,1,0,Medio
90,20,18.6,5.45,88.0,5.0,10,2,1,0,Medio
60,20,18.6,5.53,86.8333333333333,5.0833333333333295,10,2,1,0,Medio
70,20,18.6666666666667,5.65666666666667,85.6666666666667,5.16666666666667,10,2,1,0,Medio
80,20,18.7,5.72666666666667,84.5,5.25,10,2,1,0,Medio
60,0,18.76,5.86666666666667,83.3333333333333,5.3333333333333295,10,2,1,0,Medio
40,10,18.79,5.9,82.1666666666667,5.41666666666667,10,2,1,0,Medio
30,10,18.79,5.9,81.0,5.5,11,2,1,0,Medio
70,10,18.7,5.93333333333333,80.1666666666667,5.5833333333333295,11,2,1,0,Medio
50,10,18.7,6.06,79.3333333333333,5.66666666666667,11,2,1,0,Medio
80,10,18.7,6.22666666666667,78.5,5.75,11,2,1,0,Medio
80,10,18.7,6.3,77.6666666666667,5.8333333333333295,11,2,1,0,Medio
50,0,18.6333333333333,6.53,76.8333333333333,5.91666666666667,11,2,1,0,Medio
40,0,18.6,6.65666666666667,76.0,6.0,12,2,1,0,Medio
50,0,18.6,6.72666666666667,76.3333333333333,5.91666666666667,12,2,1,0,Medio
40,0,18.5,6.86666666666667,76.6666666666667,5.8333333333333295,12,2,1,0,Medio
40,0,18.5,6.8,77.0,5.75,12,2,1,0,Medio
50,0,18.5,6.86666666666667,77.3333333333333,5.66666666666667,12,2,1,0,Medio
30,0,18.5,7.045,77.6666666666667,5.5833333333333295,12,2,1,0,Medio
30,0,18.5,6.93333333333333,78.0,5.5,13,2,1,0,Medio
20,0,18.5,6.93333333333333,76.8333333333333,5.73333333333333,13,2,1,0,Medio
20,0,18.463333333333296,7.0,75.6666666666667,5.96666666666667,13,2,1,0,Medio
50,0,18.39,7.12666666666667,74.5,6.2,13,2,1,0,Medio
40,0,18.39,7.19,73.3333333333333,6.43333333333333,13,2,1,0,Medio
50,0,18.39,6.99666666666667,72.1666666666667,6.66666666666667,13,2,1,0,Medio
40,0,18.39,6.46666666666667,71.0,6.9,14,2,1,0,Medio
60,0,18.39,6.3333333333333295,70.6666666666667,6.8,14,2,1,0,Medio
40,0,18.39,6.6,70.3333333333333,6.7,14,2,1,0,Medio
40,0,18.39,6.93333333333333,70.0,6.6,14,2,1,0,Medio
50,0,18.39,7.2933333333333294,69.6666666666667,6.5,14,2,1,0,Medio
40,0,18.4266666666667,7.7,69.3333333333333,6.4,14,2,1,0,Medio
40,0,18.5,7.9,69.0,6.3,15,2,1,0,Medio
30,0,18.5,7.8333333333333295,68.0,6.31666666666667,15,2,1,0,Medio
30,0,18.5,7.866666666666669,67.0,6.3333333333333295,15,2,1,0,Medio
30,0,18.6333333333333,7.72666666666667,66.0,6.35,15,2,1,0,Medio
40,0,18.7,7.69,65.0,6.36666666666667,15,2,1,0,Medio
80,0,18.73,7.626666666666669,64.0,6.383333333333329,15,2,1,0,Medio
70,0,18.79,7.43333333333333,63.0,6.4,16,2,1,0,Medio
80,0,18.79,7.15666666666667,64.3333333333333,6.16666666666667,16,2,1,0,Medio
70,0,18.79,7.03,65.6666666666667,5.93333333333333,16,2,1,0,Medio
80,0,18.79,6.7,67.0,5.7,16,2,1,0,Medio
80,0,18.79,6.36666666666667,68.3333333333333,5.46666666666667,16,2,1,0,Medio
100,0,18.7,5.93333333333333,69.6666666666667,5.23333333333333,16,2,1,0,Medio
90,0,18.7,5.66,71.0,5.0,17,2,1,0,Medio
100,10,18.7,5.33,72.0,4.78333333333333,17,2,1,0,Medio
90,0,18.7,5.06333333333333,73.0,4.56666666666667,17,2,1,0,Medio
110,0,18.7,4.62666666666667,74.0,4.35,17,2,1,0,Medio
90,10,18.7,4.36666666666667,75.0,4.133333333333329,17,2,1,0,Medio
100,0,18.7,3.9666666666666694,76.0,3.9166666666666705,17,2,1,0,Medio
100,10,18.7,3.82666666666667,77.0,3.7,18,2,1,0,Medio
110,0,18.7,3.7233333333333296,79.0,3.53333333333333,18,2,1,0,Medio
100,10,18.7,3.42,81.0,3.36666666666667,18,2,1,0,Alto
90,10,18.7,3.1566666666666694,83.0,3.2,18,2,1,0,Alto
90,10,18.7,2.86333333333333,85.0,3.03333333333333,18,2,1,0,Alto
180,10,18.7,2.6566666666666694,87.0,2.86666666666667,18,2,1,0,Alto
140,0,18.79,2.4666666666666694,89.0,2.7,19,2,1,0,Alto
100,10,18.79,2.4,88.8333333333333,2.78333333333333,19,2,1,0,Alto
110,20,18.823333333333295,2.22333333333333,88.6666666666667,2.86666666666667,19,2,1,0,Alto
340,20,18.823333333333295,2.03,88.5,2.95,19,2,1,0,Alto
380,20,18.89,1.8633333333333295,88.3333333333333,3.03333333333333,19,2,1,0,Alto
210,30,18.89,1.79,88.1666666666667,3.11666666666667,19,2,1,0,Alto
150,20,19.0,1.7,88.0,3.2,20,2,1,0,Alto
330,20,19.0,1.7,88.1666666666667,3.16666666666667,20,2,1,0,Alto
420,20,19.0,1.63333333333333,88.3333333333333,3.13333333333333,20,2,1,0,Alto
330,20,19.0,1.63333333333333,88.5,3.1,20,2,1,0,Alto
130,20,19.1,1.6,88.6666666666667,3.06666666666667,20,2,1,0,Alto
130,20,19.1,1.6,88.8333333333333,3.03333333333333,20,2,1,0,Alto
110,20,19.1666666666667,1.445,89.0,3.0,21,2,1,0,Alto
250,10,19.1333333333333,1.5,88.8333333333333,2.95,21,2,1,0,Alto
520,0,19.1333333333333,1.42666666666667,88.6666666666667,2.9,21,2,1,0,Alto
360,0,19.1,1.29,88.5,2.85,21,2,1,0,Alto
330,0,19.1,1.23,88.3333333333333,2.8,21,2,1,0,Alto
310,0,19.1,1.16666666666667,88.1666666666667,2.75,21,2,1,0,Alto
270,0,19.1,1.1,88.0,2.7,22,2,1,0,Alto
230,0,19.066666666666695,1.13333333333333,87.6666666666667,2.78333333333333,22,2,1,0,Alto
170,10,19.0,1.26,87.3333333333333,2.86666666666667,22,2,1,0,Alto
60,0,19.0,1.42666666666667,87.0,2.95,22,2,1,0,Alto
30,0,19.0,1.56666666666667,86.6666666666667,3.03333333333333,22,2,1,0,Alto
30,0,18.963333333333296,1.73,86.3333333333333,3.11666666666667,22,2,1,0,Alto
30,0,18.89,1.79,86.0,3.2,23,2,1,0,Alto
40,0,18.89,1.93333333333333,86.5,3.13333333333333,23,2,1,0,Alto
50,0,18.823333333333295,1.93333333333333,87.0,3.06666666666667,23,2,1,0,Alto
50,0,18.79,1.9,87.5,3.0,23,2,1,0,Alto
40,0,18.79,1.9,88.0,2.93333333333333,23,2,1,0,Alto
40,0,18.7,1.8266666666666695,88.5,2.86666666666667,23,2,1,0,Alto
50,0,18.7,1.66666666666667,89.0,2.8,0,3,1,0,Alto
50,0,18.6333333333333,1.6,89.1666666666667,2.81666666666667,0,3,1,0,Alto
40,0,18.6,1.46333333333333,89.3333333333333,2.8333333333333295,0,3,1,0,Alto
60,0,18.6,1.39,89.5,2.85,0,3,1,0,Alto
40,0,18.6,1.53333333333333,89.6666666666667,2.86666666666667,0,3,1,0,Alto
40,0,18.533333333333296,1.6,89.8333333333333,2.88333333333333,0,3,1,0,Alto
50,0,18.5,1.73,90.0,2.9,1,3,1,0,Alto
40,0,18.5,1.79,90.5,2.88333333333333,1,3,1,0,Alto
30,0,18.463333333333296,1.9,91.0,2.86666666666667,1,3,1,0,Alto
30,0,18.39,2.0266666666666695,91.5,2.85,1,3,1,0,Alto
30,0,18.39,2.09,92.0,2.8333333333333295,1,3,1,0,Alto
40,0,18.39,2.09,92.5,2.81666666666667,1,3,1,0,Alto
40,0,18.29,2.2,93.0,2.8,2,3,1,0,Alto
50,0,18.29,2.26,92.3333333333333,2.86666666666667,2,3,1,0,Alto
40,0,18.29,2.495,91.6666666666667,2.93333333333333,2,3,1,0,Alto
40,0,18.29,2.73,91.0,3.0,2,3,1,0,Alto
40,0,18.2,2.79,90.3333333333333,3.06666666666667,2,3,1,0,Alto
50,0,18.2,2.86333333333333,89.6666666666667,3.13333333333333,2,3,1,0,Alto
50,0,18.2,2.79,89.0,3.2,3,3,1,0,Alto
50,0,18.2,2.93333333333333,89.0,3.2333333333333294,3,3,1,0,Alto
40,0,18.1333333333333,3.0,89.0,3.2666666666666706,3,3,1,0,Alto
50,0,18.1,3.09,89.0,3.3,3,3,1,0,Alto
40,0,18.1,3.09,89.0,3.3333333333333295,3,3,1,0,Alto
40,0,18.1,3.06,89.0,3.36666666666667,3,3,1,0,Alto
20,0,18.033333333333296,3.06,89.0,3.4,4,3,1,0,Medio
30,0,18.1,3.0,89.1666666666667,3.38333333333333,4,3,1,0,Alto
30,0,18.1,3.0,89.3333333333333,3.36666666666667,4,3,1,0,Alto
40,0,18.0,3.03,89.5,3.35,4,3,1,0,Medio
